!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57156.5094588   -5.829          -0.795        
 57157.5180324   -3.277          -3.175        
 57157.527653    -3.236          -0.304        
 57160.4925874   -2.784          -3.032        
 57160.501841    -5.5            -0.656        
 57161.4891922   -3.185          -0.273        
 57163.4888162   -2.669          -3.352        
 57163.5004166   -5.549          -0.911        
 57164.4819582   -2.711          -3.335        
 57164.4905191   -3.231          -0.408        
 57166.483056    -5.971          -0.813        
 57167.4159102   -2.807          -3.271        
 57169.477216    -3.161          -2.984        
 57170.4824037   -2.888          -2.975        
 57170.4943773   -5.736          -0.625        
 57172.4815873   -3.115          -2.892        
 57173.4843212   -3.166          -0.209        
 57175.5990736   -2.659          -3.238        
 57176.4852042   -2.921          -0.388        
 57177.5223311   -3.07           -3.331        
 57177.5339208   -5.608          -0.957        
 57184.5206134   -2.725          -3.204        
 57184.5321969   -5.62           -0.788        
 57185.4940409   -2.79           -3.065        
 57185.5032664   -3.23           -0.257        
 57191.4803751   -2.548          -3.194        
 57191.4919297   -5.077          -0.637        
 57191.5467316   -2.308          -3.012        
 57191.5644066   -2.854          -0.26         
 57192.4805912   -4.922          -0.809        
 57195.4734628   -2.501          -3.286        
 57195.4816789   -3.252          -0.363        
 57198.5145736   -2.844          -3.181        
 57198.5261515   -5.715          -0.775        
 57199.5185323   -2.732          -3.223        
 57199.5217      -5.521          -0.924        
 57199.5229149   -3.139          -0.397        
 57202.4414464   -5.843          -0.877        
 57203.4997543   -2.934          -3.124        
 57203.5162355   -3.092          -0.251        
 57205.7527817   -2.497          -2.955        
 57205.7643717   -5.365          -0.525        
 57206.4760512   -2.664          -2.924        
 57206.4852931   -5.587          -0.525        
 57212.524493    -2.606          -2.996        
 57212.5361086   -5.346          -0.689        
 57213.4572199   -3.117          -0.278        
 57216.4994668   -3.313          -2.877        
 57216.5087042   -3.44           -0.122        
 57219.4966165   -2.805          -2.786        
 57219.5081836   -5.506          -0.444        
 57220.4873168   -5.415          -0.709        
 57220.4885477   -3.048          -0.247        
 57223.4848494   -2.712          -2.855        
 57223.485901    -1.619          -1.461        
 57223.5004032   -5.479          -0.653        
 57223.5016301   -3.115          -0.237        
 57225.9013298   -2.189          -3.07         
 57225.9023853   -1.414          -1.469        
 57225.9168618   -5.249          -0.571        
 57225.918088    -3.018          -0.222        
 57226.5139654   -2.661          -3.001        
 57226.5257576   -5.794          -0.651        
 57229.4955329   -2.676          -3.265        
 57229.5071231   -5.593          -0.798        
 57229.5621831   -5.644          -0.814        
 57229.5634078   -3.164          -0.29         
 57230.4953929   -1.606          -1.526        
 57232.4840552   -3.307          -0.269        
 57234.4885041   -5.933          -0.628        
 57236.5689839   -2.923          -3.089        
 57236.5805646   -5.772          -0.63         
 57244.7202883   -2.895          -2.868        
 57244.73186     -5.468          -0.583        
 57246.5801673   -5.845          -0.108        
 57248.481935    -3.274          -0.055        
 57250.3482735   -2.435          -2.803        
 57250.3598509   -5.155          -0.404        
 57250.4343793   -2.484          -2.9          
 57251.2896055   -3.147          -2.651        
 57251.2991275   -6.066          -0.289        
 57254.5002805   -3.214          -0.209        
 57255.5188251   -2.643          -3.138        
 57257.499601    -2.468          -3.098        
 57257.5111639   -5.155          -0.658        
 57257.5674056   -5.108          -0.63         
 57258.499147    -5.745          -0.69         
 57259.4878409   -5.704          -0.645        
 57260.5609068   -5.752          -0.594        
 57261.4838519   -5.658          -0.623        
 57264.4868997   -2.589          -3.262        
 57264.49848     -5.419          -1.008        
 57268.478732    -3.273          -0.452        
 57269.48409     -3.121          -0.361        
 57270.4902656   -3.245          -0.338        
 57271.4615455   -3.076          -3.101        
 57271.4731103   -6.049          -0.639        
 57272.4553172   -3.386          -2.9          
 57273.4510543   -3.21           -0.072        
 57276.4556237   -2.657          -2.953        
 57276.4648585   -3.122          -0.237        
 57277.4562114   -3.218          -0.211        
 57278.5320392   -2.209          -3.091        
 57278.5440067   -5.244          -0.702        
 57282.4588857   -3.176          -0.305        
 57282.6667335   -3.216          -0.21         
 57283.4660006   -2.797          -3.009        
 57285.4714586   -2.666          -3.406        
 57285.4830295   -5.593          -0.774        
 57292.4392721   -2.846          -2.977        
 57292.4508458   -5.484          -0.663        
