!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57489.4570922   -3.585          0.119         
 57489.5210696   -1.974          -0.106        
 57495.4686067   -3.174          -0.132        
 57496.5184725   -1.88           -0.38         
 57496.5275218   -3.482          -0.114        
 57496.5685815   -5.453          -0.029        
 57497.520179    -1.235          -0.217        
 57500.5101371   -3.241          0.076         
 57503.5171442   -1.605          -0.266        
 57503.5256777   -3.166          -0.122        
 57503.5784657   -3.24           -0.145        
 57510.530666    -2.196          0.053         
 57510.5391758   -3.485          -0.137        
 57513.4489061   -1.968          -0.028        
 57513.4589104   -5.641          -0.063        
 57516.4313323   -1.695          -0.181        
 57517.4776421   -2.35           -0.168        
 57517.4862654   -3.835          -0.157        
 57520.502339    -3.558          -0.096        
 57522.6466865   -2.101          0.596         
 57523.5046264   -1.271          0.568         
 57523.5126534   -3.31           0.002         
 57524.5276622   -2.087          0.055         
 57524.5363143   -3.867          -0.058        
 57527.5514158   -3.47           0.025         
 57529.4903995   -1.793          -0.106        
 57530.5077659   -3.438          0.01          
 57531.500125    -2.297          0.281         
 57531.5086301   -3.787          0.129         
 57538.6358554   -1.296          -0.014        
 57538.6443532   -2.906          -0.131        
 57540.5568794   -1.159          0.582         
 57540.5649061   -3.207          0.038         
 57543.5039236   -1.149          0.549         
 57543.5119349   -3.218          -0.019        
 57543.5131519   -1.956          0.558         
 57545.4762584   -1.408          0.157         
 57545.4847711   -3.271          0.218         
 57548.5242711   -2.031          0.07          
 57548.5343723   -2.163          0.569         
 57548.5353482   -3.798          0.038         
 57550.4876762   -1.576          0.59          
 57551.5396512   -2.201          0.098         
 57551.5496545   -3.673          0.035         
 57552.541437    -2.172          0.039         
 57552.5499363   -3.871          0.101         
 57552.600261    -5.803          0.221         
 57553.5252474   -1.981          0.607         
 57554.5247356   -3.768          0.09          
 57555.5217401   -1.64           0.121         
 57559.539156    -1.182          -0.03         
 57559.5476723   -2.891          -0.113        
 57566.5144253   -1.566          0.075         
 57566.5232281   -3.372          -0.068        
 57567.5872634   -4.391          0.028         
 57570.5200337   -2.036          0.568         
 57570.5210013   -3.272          -0.045        
 57571.5241884   -1.159          -0.002        
 57572.4523044   -5.047          0.105         
 57573.4679233   -0.658          -0.01         
 57573.4767649   -3.324          -0.273        
 57576.5088728   -1.258          -0.086        
 57576.5189226   -3.079          -0.11         
 57580.521363    -0.684          -0.186        
 57580.5298753   -2.324          -0.075        
 57582.5246465   -2.557          -0.127        
 57583.5377576   -1.079          0.01          
 57585.5215929   -3.209          -0.188        
 57587.5477943   -1.415          0.005         
 57587.5563214   -3.187          -0.013        
 57587.6609556   -2.055          0.581         
 57590.511345    -3.384          0.045         
 57592.5326406   -1.965          0.688         
 57593.5141219   -1.503          -0.105        
 57594.527966    -1.413          -0.119        
