!mjd_obs        !mean_dy        
!---------------!---------------
 58568.4605183   2.046
 58569.4943808   2.011
 58569.5028906   0.559
 58574.4710529   1.972
 58575.5864008   0.71
 58576.3790555   0.526
 58576.4588846   1.777
 58576.4674197   0.422
 58577.5284692   2.144
 58583.496502    1.741
 58583.5050206   0.369
 58586.4643408   0.552
 58590.6792054   1.541
 58590.6877069   0.055
 58593.5535103   0.349
 58597.4585508   1.936
 58597.4670664   0.4
 58598.4551287   2.185
 58604.5119973   2.069
 58604.5205088   0.604
 58608.50156     0.569
 58611.455216    1.441
 58611.4638804   -0.172
 58612.5300347   0.539
 58613.4957412   2.248
 58618.5355031   1.843
 58618.5441702   0.376
 58621.5167694   0.452
 58623.4951604   2.403
 58624.5479632   0.544
 58625.5491295   2.264
 58625.5576237   0.701
 58631.5181442   0.525
 58632.5288686   1.593
 58632.5373691   -0.019
 58639.5143858   1.625
 58639.5229096   0.14
 58644.5022956   3.586
 58646.5295997   2.307
 58646.5380968   0.471
 58646.59804     0.629
 58653.5173466   1.257
 58653.5258552   -0.157
 58660.5732236   2.118
 58660.5817193   0.568
 58664.4833885   0.358
 58666.4784696   0.618
 58667.5266377   1.644
 58667.5351362   0.282
 58671.5064277   2.079
 58673.4819539   0.266
 58674.5134241   1.82
 58674.5219416   0.411
 58678.5474477   2.332
 58681.5235906   1.745
 58681.5321018   0.194
 58681.761941    1.533
 58681.7707508   -0.102
 58682.4721139   2.217
 58688.7253477   1.66
 58688.7338772   0.082
 58695.5095279   1.557
 58695.5180532   0.191
 58698.567131    0.291
 58700.7942129   -0.004
 58701.4825066   0.478
 58702.5420787   1.949
 58702.5505856   0.458
 58705.5221638   2.042
 58707.5227429   0.344
 58709.5025221   1.686
 58709.5110566   0.173
 58713.4479061   0.461
 58716.5231474   1.733
 58716.5316952   0.125
 58723.5774963   1.523
 58723.5860276   0.174
 58724.4878719   0.649
 58730.5142082   2.556
 58730.5228108   1.129
 58732.4757507   0.992
 58737.4821808   2.429
